,gene_id,allele,percentage
252,IGKV6-21,02,20.0
253,IGKV6D-21,02,100.0
254,IGLV1-36,01,100.0
255,IGLV1-40,01,93.56223175965665
256,IGLV1-40,02,6.008583690987124
257,IGLV1-40,03,0.4291845493562232
258,IGLV1-41,02,100.0
259,IGLV1-44,01,100.0
260,IGLV1-47,01,87.87878787878788
261,IGLV1-47,02,11.616161616161616
262,IGLV1-47,03,0.5050505050505051
263,IGLV1-50,01,100.0
264,IGLV1-51,01,83.18318318318319
265,IGLV1-51,02,16.816816816816818
266,IGLV10-54,01,57.14285714285714
267,IGLV10-54,04,42.857142857142854
268,IGLV2-11,01,98.64864864864865
269,IGLV2-11,03,1.3513513513513513
270,IGLV2-14,01,54.30327868852459
271,IGLV2-14,03,43.23770491803279
272,IGLV2-14,02,2.2540983606557377
273,IGLV2-14,04,0.20491803278688525
274,IGLV2-18,02,88.88888888888889
275,IGLV2-18,01,11.11111111111111
276,IGLV2-23,01,53.246753246753244
277,IGLV2-23,02,42.857142857142854
278,IGLV2-23,03,3.896103896103896
279,IGLV2-5,01,100.0
280,IGLV2-8,01,98.83040935672514
281,IGLV2-8,03,1.1695906432748537
282,IGLV3-1,01,100.0
283,IGLV3-10,01,100.0
284,IGLV3-12,02,100.0
285,IGLV3-19,01,100.0
286,IGLV3-21,02,49.85590778097983
287,IGLV3-21,04,29.971181556195965
288,IGLV3-21,03,16.42651296829971
289,IGLV3-21,01,3.7463976945244957
290,IGLV3-22,01,100.0
291,IGLV3-25,03,86.81318681318682
292,IGLV3-25,02,8.791208791208792
293,IGLV3-25,01,4.395604395604396
294,IGLV3-27,01,100.0
295,IGLV3-9,01,95.1219512195122
296,IGLV3-9,02,4.878048780487805
297,IGLV4-60,03,76.92307692307693
298,IGLV4-60,02,23.076923076923077
299,IGLV4-69,01,82.92682926829268
300,IGLV4-69,02,17.073170731707318
301,IGLV5-37,01,100.0
302,IGLV5-45,03,46.666666666666664
303,IGLV5-45,02,40.0
304,IGLV5-45,01,13.333333333333334
305,IGLV5-48,01,100.0
306,IGLV6-57,01,37.82051282051282
307,IGLV6-57,02,27.564102564102566
308,IGLV6-57,03,22.435897435897438
309,IGLV6-57,04,12.179487179487179
310,IGLV7-43,01,100.0
311,IGLV7-46,01,100.0
312,IGLV8-61,01,100.0
313,IGLV9-49,01,84.21052631578947
314,IGLV9-49,03,15.789473684210526
